attraction_id,name,city,country,category,entry_fee,duration_hours,rating,description,opening_hours
189,Rome Architecture Center,Rome,Italy,Architecture,17,3.5,4.8,Discover the fascinating architecture treasures of Rome in this world-class venue.,9:30 AM - 6:30 PM
190,Rome Market Center,Rome,Italy,Market,5,1.0,4.2,A magnificent market attraction showcasing the rich heritage of Rome.,10:00 AM - 8:00 PM
191,Rome Palace,Rome,Italy,Historical,19,8.0,3.8,A must-visit historical landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
192,Rome History Museum,Rome,Italy,Museum,18,1.0,3.6,Experience the authentic culture and history of Rome at this renowned museum site.,9:30 AM - 6:30 PM
193,Rome Monastery,Rome,Italy,Religious,4,1.0,4.5,One of Rome's most visited religious destinations with stunning architecture.,8:00 AM - 5:00 PM
194,Rome Tower,Rome,Italy,Landmark,6,5.0,3.9,A magnificent landmark attraction showcasing the rich heritage of Rome.,9:00 AM - 6:00 PM
195,Rome Shopping District,Rome,Italy,Shopping,0,3.0,4.4,A magnificent shopping attraction showcasing the rich heritage of Rome.,10:00 AM - 8:00 PM
196,Rome Cultural Center,Rome,Italy,Cultural,22,4.0,4.4,Discover the fascinating cultural treasures of Rome in this world-class venue.,10:00 AM - 8:00 PM
197,Rome Entertainment Center,Rome,Italy,Entertainment,26,1.5,4.9,Experience the authentic culture and history of Rome at this renowned entertainment site.,9:30 AM - 6:30 PM
198,Rome Nature Center,Rome,Italy,Nature,15,8.0,4.7,A must-visit nature landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
199,Rome Architecture Center,Rome,Italy,Architecture,12,3.5,4.6,A magnificent architecture attraction showcasing the rich heritage of Rome.,9:00 AM - 6:00 PM
200,Rome Market Center,Rome,Italy,Market,5,3.5,4.6,Experience the authentic culture and history of Rome at this renowned market site.,10:00 AM - 7:00 PM
201,Royal Rome Complex,Rome,Italy,Historical,13,8.0,4.4,Experience the authentic culture and history of Rome at this renowned historical site.,9:00 AM - 6:00 PM
202,Rome Art Museum,Rome,Italy,Museum,15,1.0,4.1,A must-visit museum landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
203,Rome Monastery,Rome,Italy,Religious,10,3.5,3.8,A must-visit religious landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
204,Rome Plaza,Rome,Italy,Landmark,12,2.5,3.5,A magnificent landmark attraction showcasing the rich heritage of Rome.,8:00 AM - 5:00 PM
205,Traditional Rome Market,Rome,Italy,Shopping,0,2.5,3.8,A must-visit shopping landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
206,Rome Cultural Center,Rome,Italy,Cultural,13,6.0,4.1,A must-visit cultural landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
207,Rome Entertainment Center,Rome,Italy,Entertainment,44,5.0,5.0,A magnificent entertainment attraction showcasing the rich heritage of Rome.,9:00 AM - 6:00 PM
208,Rome Nature Center,Rome,Italy,Nature,5,1.5,3.9,A must-visit nature landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
209,Rome Architecture Center,Rome,Italy,Architecture,8,2.0,4.2,A must-visit architecture landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
210,Rome Market Center,Rome,Italy,Market,2,2.5,3.8,Discover the fascinating market treasures of Rome in this world-class venue.,8:00 AM - 5:00 PM
211,Medieval Bangkok,Bangkok,Thailand,Historical,17,3.5,4.1,Experience the authentic culture and history of Bangkok at this renowned historical site.,9:00 AM - 6:00 PM
212,Bangkok Art Museum,Bangkok,Thailand,Museum,15,2.0,4.9,A magnificent museum attraction showcasing the rich heritage of Bangkok.,10:00 AM - 7:00 PM
213,Bangkok Cathedral,Bangkok,Thailand,Religious,1,8.0,4.9,Discover the fascinating religious treasures of Bangkok in this world-class venue.,8:00 AM - 5:00 PM
214,Bangkok Viewpoint,Bangkok,Thailand,Landmark,20,2.0,3.6,Discover the fascinating landmark treasures of Bangkok in this world-class venue.,9:30 AM - 6:30 PM
215,Bangkok Shopping District,Bangkok,Thailand,Shopping,0,2.5,4.1,Experience the authentic culture and history of Bangkok at this renowned shopping site.,8:00 AM - 5:00 PM
216,Bangkok Cultural Center,Bangkok,Thailand,Cultural,15,8.0,4.2,Experience the authentic culture and history of Bangkok at this renowned cultural site.,9:00 AM - 6:00 PM
217,Bangkok Entertainment Center,Bangkok,Thailand,Entertainment,47,3.0,4.1,A magnificent entertainment attraction showcasing the rich heritage of Bangkok.,10:00 AM - 8:00 PM
218,Bangkok Nature Center,Bangkok,Thailand,Nature,7,1.0,4.4,Experience the authentic culture and history of Bangkok at this renowned nature site.,9:00 AM - 6:00 PM
219,Bangkok Architecture Center,Bangkok,Thailand,Architecture,9,4.0,4.4,A must-visit architecture landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
220,Bangkok Market Center,Bangkok,Thailand,Market,1,4.0,4.9,A must-visit market landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
221,Ancient Bangkok,Bangkok,Thailand,Historical,16,2.0,4.9,Experience the authentic culture and history of Bangkok at this renowned historical site.,8:00 AM - 5:00 PM
222,Bangkok Art Museum,Bangkok,Thailand,Museum,16,3.5,3.8,A must-visit museum landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
223,Bangkok Mosque,Bangkok,Thailand,Religious,2,6.0,3.8,Discover the fascinating religious treasures of Bangkok in this world-class venue.,9:00 AM - 6:00 PM
224,Bangkok Tower,Bangkok,Thailand,Landmark,15,2.0,4.1,Discover the fascinating landmark treasures of Bangkok in this world-class venue.,10:00 AM - 8:00 PM
225,Bangkok Market,Bangkok,Thailand,Shopping,0,3.5,4.0,Discover the fascinating shopping treasures of Bangkok in this world-class venue.,9:00 AM - 6:00 PM
226,Bangkok Cultural Center,Bangkok,Thailand,Cultural,20,3.0,4.0,One of Bangkok's most visited cultural destinations with stunning architecture.,10:00 AM - 8:00 PM
227,Bangkok Entertainment Center,Bangkok,Thailand,Entertainment,42,4.0,3.5,Experience the authentic culture and history of Bangkok at this renowned entertainment site.,10:00 AM - 7:00 PM
228,Bangkok Nature Center,Bangkok,Thailand,Nature,14,3.0,4.5,One of Bangkok's most visited nature destinations with stunning architecture.,10:00 AM - 7:00 PM
229,Bangkok Architecture Center,Bangkok,Thailand,Architecture,13,3.0,4.0,One of Bangkok's most visited architecture destinations with stunning architecture.,9:00 AM - 6:00 PM
230,Bangkok Market Center,Bangkok,Thailand,Market,0,8.0,3.9,Discover the fascinating market treasures of Bangkok in this world-class venue.,8:00 AM - 5:00 PM
231,Bangkok Castle,Bangkok,Thailand,Historical,13,6.0,4.3,A must-visit historical landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
232,Bangkok History Museum,Bangkok,Thailand,Museum,20,4.0,4.6,A magnificent museum attraction showcasing the rich heritage of Bangkok.,8:00 AM - 5:00 PM
233,Bangkok Monastery,Bangkok,Thailand,Religious,3,3.5,3.6,Discover the fascinating religious treasures of Bangkok in this world-class venue.,9:30 AM - 6:30 PM
234,Famous Bangkok Spot,Bangkok,Thailand,Landmark,13,3.0,3.5,A must-visit landmark landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
235,Bangkok Market,Bangkok,Thailand,Shopping,0,6.0,4.2,Experience the authentic culture and history of Bangkok at this renowned shopping site.,9:30 AM - 6:30 PM
236,Bangkok Cultural Center,Bangkok,Thailand,Cultural,13,8.0,3.6,A magnificent cultural attraction showcasing the rich heritage of Bangkok.,9:00 AM - 6:00 PM
237,Bangkok Entertainment Center,Bangkok,Thailand,Entertainment,40,1.5,4.2,A must-visit entertainment landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
238,Bangkok Nature Center,Bangkok,Thailand,Nature,5,3.0,4.7,A magnificent nature attraction showcasing the rich heritage of Bangkok.,9:30 AM - 6:30 PM
239,Bangkok Architecture Center,Bangkok,Thailand,Architecture,16,4.0,4.8,A magnificent architecture attraction showcasing the rich heritage of Bangkok.,9:30 AM - 6:30 PM
240,Bangkok Market Center,Bangkok,Thailand,Market,0,1.5,3.5,One of Bangkok's most visited market destinations with stunning architecture.,10:00 AM - 8:00 PM
241,Royal Sydney Complex,Sydney,Australia,Historical,24,4.0,4.3,A must-visit historical landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
242,Sydney History Museum,Sydney,Australia,Museum,21,3.5,4.8,Discover the fascinating museum treasures of Sydney in this world-class venue.,8:00 AM - 5:00 PM
243,Sacred Sydney Site,Sydney,Australia,Religious,0,1.5,4.6,A magnificent religious attraction showcasing the rich heritage of Sydney.,10:00 AM - 8:00 PM
244,Sydney Tower,Sydney,Australia,Landmark,9,5.0,4.3,Discover the fascinating landmark treasures of Sydney in this world-class venue.,10:00 AM - 7:00 PM
245,Sydney Bazaar,Sydney,Australia,Shopping,0,6.0,4.1,Discover the fascinating shopping treasures of Sydney in this world-class venue.,8:00 AM - 5:00 PM
246,Sydney Cultural Center,Sydney,Australia,Cultural,24,3.5,4.5,Experience the authentic culture and history of Sydney at this renowned cultural site.,9:30 AM - 6:30 PM
247,Sydney Entertainment Center,Sydney,Australia,Entertainment,43,5.0,4.0,A must-visit entertainment landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
248,Sydney Nature Center,Sydney,Australia,Nature,11,2.0,4.3,A magnificent nature attraction showcasing the rich heritage of Sydney.,10:00 AM - 7:00 PM
249,Sydney Architecture Center,Sydney,Australia,Architecture,12,1.5,3.5,A magnificent architecture attraction showcasing the rich heritage of Sydney.,10:00 AM - 8:00 PM
250,Sydney Market Center,Sydney,Australia,Market,3,2.0,3.9,A magnificent market attraction showcasing the rich heritage of Sydney.,10:00 AM - 7:00 PM
251,Traditional Sydney,Sydney,Australia,Historical,16,3.5,4.7,A must-visit historical landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
252,Sydney Gallery,Sydney,Australia,Museum,16,3.0,4.1,A magnificent museum attraction showcasing the rich heritage of Sydney.,10:00 AM - 7:00 PM
253,Sydney Church,Sydney,Australia,Religious,3,1.5,4.9,One of Sydney's most visited religious destinations with stunning architecture.,9:00 AM - 6:00 PM
254,Sydney Tower,Sydney,Australia,Landmark,14,2.0,4.4,A must-visit landmark landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
255,Traditional Sydney Market,Sydney,Australia,Shopping,0,5.0,4.6,One of Sydney's most visited shopping destinations with stunning architecture.,9:00 AM - 6:00 PM
256,Sydney Cultural Center,Sydney,Australia,Cultural,19,2.0,4.7,A must-visit cultural landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
257,Sydney Entertainment Center,Sydney,Australia,Entertainment,41,2.0,4.3,Discover the fascinating entertainment treasures of Sydney in this world-class venue.,10:00 AM - 8:00 PM
258,Sydney Nature Center,Sydney,Australia,Nature,13,8.0,5.0,A must-visit nature landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
259,Sydney Architecture Center,Sydney,Australia,Architecture,9,1.5,3.8,A must-visit architecture landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
260,Sydney Market Center,Sydney,Australia,Market,4,3.5,4.3,A must-visit market landmark offering breathtaking views and cultural insights.,24 hours
261,Old Sydney,Sydney,Australia,Historical,14,1.0,4.8,Discover the fascinating historical treasures of Sydney in this world-class venue.,9:30 AM - 6:30 PM
262,Modern Sydney Museum,Sydney,Australia,Museum,18,3.5,4.5,A magnificent museum attraction showcasing the rich heritage of Sydney.,9:00 AM - 6:00 PM
263,Sydney Cathedral,Sydney,Australia,Religious,8,5.0,4.6,Discover the fascinating religious treasures of Sydney in this world-class venue.,9:00 AM - 6:00 PM
264,Sydney Monument,Sydney,Australia,Landmark,6,8.0,3.6,Discover the fascinating landmark treasures of Sydney in this world-class venue.,9:00 AM - 6:00 PM
265,Traditional Sydney Market,Sydney,Australia,Shopping,0,6.0,4.3,A magnificent shopping attraction showcasing the rich heritage of Sydney.,9:00 AM - 6:00 PM
266,Sydney Cultural Center,Sydney,Australia,Cultural,23,5.0,4.9,Experience the authentic culture and history of Sydney at this renowned cultural site.,10:00 AM - 7:00 PM
267,Sydney Entertainment Center,Sydney,Australia,Entertainment,46,3.0,4.9,A magnificent entertainment attraction showcasing the rich heritage of Sydney.,10:00 AM - 7:00 PM
268,Sydney Nature Center,Sydney,Australia,Nature,12,2.5,4.8,A magnificent nature attraction showcasing the rich heritage of Sydney.,8:00 AM - 5:00 PM
269,Sydney Architecture Center,Sydney,Australia,Architecture,17,1.0,3.5,Experience the authentic culture and history of Sydney at this renowned architecture site.,10:00 AM - 8:00 PM
270,Sydney Market Center,Sydney,Australia,Market,4,4.0,3.7,A must-visit market landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
271,Traditional Mumbai,Mumbai,India,Historical,20,5.0,3.8,A magnificent historical attraction showcasing the rich heritage of Mumbai.,8:00 AM - 5:00 PM
272,Mumbai Art Museum,Mumbai,India,Museum,28,2.0,4.0,A magnificent museum attraction showcasing the rich heritage of Mumbai.,9:00 AM - 6:00 PM
273,Mumbai Shrine,Mumbai,India,Religious,8,3.5,4.5,Discover the fascinating religious treasures of Mumbai in this world-class venue.,9:00 AM - 6:00 PM
274,Mumbai Viewpoint,Mumbai,India,Landmark,6,6.0,4.1,A magnificent landmark attraction showcasing the rich heritage of Mumbai.,10:00 AM - 7:00 PM
275,Mumbai Bazaar,Mumbai,India,Shopping,0,3.0,3.6,One of Mumbai's most visited shopping destinations with stunning architecture.,10:00 AM - 7:00 PM
276,Mumbai Cultural Center,Mumbai,India,Cultural,16,1.5,4.0,A magnificent cultural attraction showcasing the rich heritage of Mumbai.,8:00 AM - 5:00 PM
277,Mumbai Entertainment Center,Mumbai,India,Entertainment,32,2.0,4.7,A magnificent entertainment attraction showcasing the rich heritage of Mumbai.,9:30 AM - 6:30 PM
278,Mumbai Nature Center,Mumbai,India,Nature,10,3.5,4.5,Experience the authentic culture and history of Mumbai at this renowned nature site.,10:00 AM - 8:00 PM
279,Mumbai Architecture Center,Mumbai,India,Architecture,15,3.0,3.7,Discover the fascinating architecture treasures of Mumbai in this world-class venue.,10:00 AM - 8:00 PM
280,Mumbai Market Center,Mumbai,India,Market,3,2.0,4.6,Experience the authentic culture and history of Mumbai at this renowned market site.,10:00 AM - 8:00 PM
281,Mumbai Castle,Mumbai,India,Historical,17,4.0,4.5,A must-visit historical landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
282,Mumbai Art Museum,Mumbai,India,Museum,15,3.0,4.9,A must-visit museum landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
283,Mumbai Shrine,Mumbai,India,Religious,7,3.5,4.7,A magnificent religious attraction showcasing the rich heritage of Mumbai.,10:00 AM - 8:00 PM
284,Famous Mumbai Spot,Mumbai,India,Landmark,7,6.0,3.6,A magnificent landmark attraction showcasing the rich heritage of Mumbai.,8:00 AM - 5:00 PM
285,Traditional Mumbai Market,Mumbai,India,Shopping,0,2.0,4.7,Experience the authentic culture and history of Mumbai at this renowned shopping site.,9:00 AM - 6:00 PM
286,Mumbai Cultural Center,Mumbai,India,Cultural,14,1.0,4.3,Experience the authentic culture and history of Mumbai at this renowned cultural site.,9:00 AM - 6:00 PM
287,Mumbai Entertainment Center,Mumbai,India,Entertainment,47,5.0,3.7,A must-visit entertainment landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
288,Mumbai Nature Center,Mumbai,India,Nature,10,3.0,3.7,A must-visit nature landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
289,Mumbai Architecture Center,Mumbai,India,Architecture,12,3.0,4.6,Experience the authentic culture and history of Mumbai at this renowned architecture site.,9:00 AM - 6:00 PM
290,Mumbai Market Center,Mumbai,India,Market,0,1.0,3.5,A must-visit market landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
291,Ancient Mumbai,Mumbai,India,Historical,25,6.0,4.6,Discover the fascinating historical treasures of Mumbai in this world-class venue.,8:00 AM - 5:00 PM
292,Modern Mumbai Museum,Mumbai,India,Museum,30,5.0,3.5,Experience the authentic culture and history of Mumbai at this renowned museum site.,8:00 AM - 5:00 PM
293,Mumbai Mosque,Mumbai,India,Religious,5,4.0,4.4,One of Mumbai's most visited religious destinations with stunning architecture.,10:00 AM - 7:00 PM
294,Mumbai Bridge,Mumbai,India,Landmark,13,6.0,3.8,Discover the fascinating landmark treasures of Mumbai in this world-class venue.,9:00 AM - 6:00 PM
295,Mumbai Fashion Street,Mumbai,India,Shopping,0,3.5,4.6,Experience the authentic culture and history of Mumbai at this renowned shopping site.,9:00 AM - 6:00 PM
296,Mumbai Cultural Center,Mumbai,India,Cultural,21,1.5,4.9,One of Mumbai's most visited cultural destinations with stunning architecture.,9:00 AM - 6:00 PM
297,Mumbai Entertainment Center,Mumbai,India,Entertainment,24,2.5,3.9,One of Mumbai's most visited entertainment destinations with stunning architecture.,8:00 AM - 5:00 PM
298,Mumbai Nature Center,Mumbai,India,Nature,15,5.0,4.1,Experience the authentic culture and history of Mumbai at this renowned nature site.,9:00 AM - 6:00 PM
299,Mumbai Architecture Center,Mumbai,India,Architecture,18,3.0,4.5,Discover the fascinating architecture treasures of Mumbai in this world-class venue.,10:00 AM - 8:00 PM
300,Mumbai Market Center,Mumbai,India,Market,3,8.0,4.1,One of Mumbai's most visited market destinations with stunning architecture.,10:00 AM - 7:00 PM
